,OlfN,TotalN,Tokens
exception_NN,136,0,"['exception_NN', 'exception_NNS']"
colonial_NN,43,0,"['colonial_NNP', 'colonial_NN', 'colonial_NNS']"
naval_JJ,18,0,['naval_JJ']
harbor_NN,64,0,"['harbor_NNP', 'harbor_NN', 'harbor_NNS']"
cafe_NN,33,0,"['cafe_NNP', 'cafe_NN', 'cafe_NNS']"
south_RB,41,0,['south_RB']
boast_VB,39,0,"['boast_VBZ', 'boast_VB', 'boast_VBG', 'boast_VBD', 'boast_VBN']"
african-american_JJ,63,0,['african-american_JJ']
spa_NN,31,0,"['spa_NNP', 'spa_NN', 'spa_NNS']"
undue_JJ,69,0,['undue_JJ']
churchill_NN,36,0,['churchill_NNP']
roosevelt_NN,90,0,['roosevelt_NNP']
snappy_JJ,36,0,"['snappy_JJ', 'snappy_JJR']"
austere_JJ,16,0,['austere_JJ']
longstanding_JJ,17,0,['longstanding_JJ']
rim_NN,22,0,"['rim_NNP', 'rim_NN', 'rim_NNS']"
oklahoma_NN,33,0,['oklahoma_NNP']
contentious_JJ,12,0,['contentious_JJ']
electron_NN,29,0,"['electron_NNS', 'electron_NN', 'electron_NNP']"
liquid_JJ,38,0,['liquid_JJ']
lawmaker_NN,83,0,"['lawmaker_NNS', 'lawmaker_NN']"
etch_VB,11,0,"['etch_VBN', 'etch_VBG', 'etch_VB']"
secretary-general_NN,23,0,"['secretary-general_NNP', 'secretary-general_NN']"
randy_NN,34,0,"['randy_NNP', 'randy_NN']"
whitney_NN,10,0,['whitney_NNP']
bilateral_JJ,19,0,['bilateral_JJ']
remarkable_JJ,111,0,['remarkable_JJ']
damn_NN,26,0,"['damn_NNP', 'damn_NN']"
digital_JJ,155,0,['digital_JJ']
softening_NN,17,0,['softening_NN']
niche_NN,37,0,"['niche_NN', 'niche_NNS']"
beautifully_RB,45,0,['beautifully_RB']
miami_NN,49,0,['miami_NNP']
october_NN,81,0,['october_NNP']
aloneness_NN,26,0,['aloneness_NN']
infectious_JJ,27,0,['infectious_JJ']
spark_VB,110,0,"['spark_VB', 'spark_VBZ', 'spark_VBG', 'spark_VBP', 'spark_VBD', 'spark_VBN']"
informed_JJ,45,0,['informed_JJ']
bizarre_JJ,54,0,['bizarre_JJ']
easy_NN,16,0,['easy_NNP']
traveller_NN,65,0,"['traveller_NNS', 'traveller_NN', 'traveller_NNPS', 'traveller_NNP']"
box_VB,52,0,"['box_VBG', 'box_VBN']"
equitable_JJ,17,0,['equitable_JJ']
vehement_JJ,27,0,['vehement_JJ']
knife_NN,86,0,"['knife_NN', 'knife_NNS', 'knife_NNP']"
ambiance_NN,21,0,"['ambiance_NN', 'ambiance_NNS']"
rodney_NN,25,0,['rodney_NNP']
thermometer_NN,31,0,"['thermometer_NN', 'thermometer_NNS']"
discriminatory_JJ,29,0,['discriminatory_JJ']
simplify_VB,27,0,"['simplify_VBN', 'simplify_VBG', 'simplify_VBZ', 'simplify_VB', 'simplify_VBP']"
symantec_NN,17,0,['symantec_NNP']
norton_NN,17,0,['norton_NNP']
danny_NN,43,0,['danny_NNP']
paw_NN,22,0,"['paw_NNS', 'paw_NN', 'paw_NNP']"
computing_NN,49,0,"['computing_NN', 'computing_NNP']"
rebecca_NN,44,0,['rebecca_NNP']
gamble_VB,27,0,"['gamble_VB', 'gamble_VBN', 'gamble_VBG', 'gamble_VBP']"
exceedingly_RB,101,0,['exceedingly_RB']
cosy_JJ,26,0,"['cosy_JJ', 'cosy_JJR']"
eclipse_NN,17,0,"['eclipse_NNP', 'eclipse_NNS']"
reel_VB,29,0,"['reel_VBG', 'reel_VBD', 'reel_VB', 'reel_VBZ', 'reel_VBN']"
shore_NN,88,0,"['shore_NNS', 'shore_NN', 'shore_NNP']"
holly_NN,14,0,['holly_NNP']
'80s_NN,19,0,"[""'80s_NNS""]"
powerpoint_NN,23,0,"['powerpoint_NNP', 'powerpoint_NN']"
greece_NN,42,0,['greece_NNP']
eisenhower_NN,36,0,['eisenhower_NNP']
cleanup_NN,12,0,"['cleanup_NN', 'cleanup_NNP']"
commerce_NN,70,0,"['commerce_NN', 'commerce_NNP']"
bluntly_RB,20,0,['bluntly_RB']
slam_VB,26,0,"['slam_VBD', 'slam_VB', 'slam_VBG', 'slam_VBN', 'slam_VBZ']"
laid-back_JJ,35,0,['laid-back_JJ']
hal_NN,17,0,['hal_NNP']
briefing_NN,17,0,"['briefing_NN', 'briefing_NNS', 'briefing_NNP']"
crystal_NN,63,0,"['crystal_NN', 'crystal_NNP', 'crystal_NNS']"
paradise_NN,45,0,"['paradise_NN', 'paradise_NNP']"
grandmother_NN,91,0,"['grandmother_NN', 'grandmother_NNS']"
origination_NN,12,0,"['origination_NN', 'origination_NNP']"
shawn_NN,11,0,['shawn_NNP']
demeaning_JJ,31,0,['demeaning_JJ']
turk_NN,38,0,"['turk_NNPS', 'turk_NNP']"
retiree_NN,42,0,"['retiree_NNS', 'retiree_NN', 'retiree_NNPS']"
chassis_NN,11,0,['chassis_NN']
embargo_NN,24,0,"['embargo_NN', 'embargo_NNS']"
princess_NN,97,0,"['princess_NN', 'princess_NNP', 'princess_NNPS', 'princess_NNS']"
purely_RB,107,0,['purely_RB']
predecessor_NN,77,0,"['predecessor_NN', 'predecessor_NNS']"
brutalize_VB,11,0,['brutalize_VBN']
chasm_NN,13,0,['chasm_NN']
thunder_NN,30,0,"['thunder_NN', 'thunder_NNP']"
bunch_NN,57,0,"['bunch_NN', 'bunch_NNS']"
frank_JJ,45,0,['frank_JJ']
rac_NN,14,0,['rac_NNP']
covenant_NN,13,0,"['covenant_NNP', 'covenant_NN', 'covenant_NNS']"
optical_JJ,14,0,['optical_JJ']
fr_NN,11,0,['fr_NNP']
palestinian_JJ,95,0,['palestinian_JJ']
theorist_NN,38,0,"['theorist_NNS', 'theorist_NN']"
strap_VB,27,0,"['strap_VB', 'strap_VBD', 'strap_VBN', 'strap_VBG']"
rationality_NN,31,0,"['rationality_NN', 'rationality_NNP']"
liberation_NN,86,0,"['liberation_NN', 'liberation_NNP']"
propositional_JJ,48,0,['propositional_JJ']
dreadful_JJ,127,0,['dreadful_JJ']
subversive_JJ,20,0,['subversive_JJ']
whence_NN,14,0,['whence_NN']
accuracy_NN,57,0,['accuracy_NN']
shortcoming_NN,60,0,"['shortcoming_NNS', 'shortcoming_NN']"
heartily_RB,28,0,['heartily_RB']
prehend_VB,10,0,"['prehend_VBN', 'prehend_VBG', 'prehend_VB', 'prehend_VBZ', 'prehend_VBP']"
entity_NN,179,0,"['entity_NN', 'entity_NNS']"
theological_JJ,44,0,['theological_JJ']
prize_VB,12,0,"['prize_VBN', 'prize_VBG']"
anesthetized_JJ,10,0,['anesthetized_JJ']
miss_NN,236,0,['miss_NNP']
perpetuate_VB,56,0,"['perpetuate_VB', 'perpetuate_VBN', 'perpetuate_VBZ', 'perpetuate_VBG', 'perpetuate_VBP', 'perpetuate_VBD']"
suffuse_VB,24,0,"['suffuse_VBN', 'suffuse_VBZ', 'suffuse_VBD', 'suffuse_VBP', 'suffuse_VB', 'suffuse_VBG']"
salvation_NN,73,0,"['salvation_NN', 'salvation_NNP']"
reason_VB,29,0,"['reason_VBN', 'reason_VBD', 'reason_VBZ']"
demonstration_NN,119,0,"['demonstration_NN', 'demonstration_NNS', 'demonstration_NNP']"
rightfully_RB,51,0,['rightfully_RB']
posit_VB,11,0,"['posit_VB', 'posit_VBZ', 'posit_VBG', 'posit_VBD']"
causal_JJ,45,0,['causal_JJ']
reproduction_NN,15,0,"['reproduction_NN', 'reproduction_NNS']"
bodily_NN,34,0,['bodily_NN']
lifting_NN,19,0,['lifting_NN']
nexus_NN,22,0,"['nexus_NN', 'nexus_NNS', 'nexus_NNP']"
lure_NN,61,0,"['lure_NNS', 'lure_NN']"
whitehead_NN,30,0,"['whitehead_NNP', 'whitehead_NN']"
spy_NN,20,0,"['spy_NNS', 'spy_NN', 'spy_NNP']"
santa_NN,64,0,['santa_NNP']
fe_NN,11,0,['fe_NNP']
disorient_VB,33,0,"['disorient_VBN', 'disorient_VBG', 'disorient_VBD']"
rationalize_VB,25,0,"['rationalize_VBG', 'rationalize_VB', 'rationalize_VBN', 'rationalize_VBP', 'rationalize_VBZ']"
harness_NN,11,0,"['harness_NN', 'harness_NNS']"
liver_NN,40,0,"['liver_NN', 'liver_NNS']"
pronounce_VB,50,0,"['pronounce_VBD', 'pronounce_VBN', 'pronounce_VB', 'pronounce_VBG', 'pronounce_VBZ', 'pronounce_VBP']"
forgiveness_NN,58,0,"['forgiveness_NN', 'forgiveness_NNS']"
righteous_JJ,115,0,['righteous_JJ']
overpay_VB,11,0,"['overpay_VBN', 'overpay_VBG', 'overpay_VBD']"
comparable_JJ,63,0,['comparable_JJ']
cloth_NN,80,0,"['cloth_NN', 'cloth_NNS', 'cloth_NNP']"
baptist_NN,25,0,"['baptist_NNP', 'baptist_NN']"
cultivation_NN,30,0,['cultivation_NN']
recipe_NN,29,0,"['recipe_NN', 'recipe_NNS']"
hebrew_NN,29,0,"['hebrew_NNP', 'hebrew_NNPS']"
preaching_NN,23,0,"['preaching_NN', 'preaching_NNS']"
anger_VB,44,0,"['anger_VBD', 'anger_VBZ', 'anger_VBG', 'anger_VBN']"
repentance_NN,58,0,['repentance_NN']
proposition_NN,65,0,"['proposition_NN', 'proposition_NNS', 'proposition_NNP']"
subdivision_NN,10,0,"['subdivision_NN', 'subdivision_NNS']"
pr_NN,34,0,"['pr_NNP', 'pr_NN']"
nascent_JJ,10,0,['nascent_JJ']
entice_VB,12,0,"['entice_VBZ', 'entice_VBN', 'entice_VBG', 'entice_VB', 'entice_VBP']"
recurrent_JJ,11,0,['recurrent_JJ']
ignatius_NN,12,0,['ignatius_NNP']
discordant_JJ,23,0,['discordant_JJ']
retrospective_NN,19,0,['retrospective_NN']
supplier_NN,57,0,"['supplier_NNS', 'supplier_NN']"
bewilder_VB,32,0,"['bewilder_VBN', 'bewilder_VBD', 'bewilder_VBG']"
briefly_RB,50,0,['briefly_RB']
resultant_JJ,26,0,['resultant_JJ']
multiplicity_NN,14,0,['multiplicity_NN']
antecedent_NN,25,0,"['antecedent_NN', 'antecedent_NNS', 'antecedent_NNP']"
determinate_JJ,10,0,['determinate_JJ']
phase_NN,150,0,"['phase_NN', 'phase_NNS', 'phase_NNP']"
prehension_NN,43,0,"['prehension_NNS', 'prehension_NN']"
term_VB,21,0,"['term_VB', 'term_VBN', 'term_VBD', 'term_VBP', 'term_VBG']"
groan_VB,28,0,"['groan_VBP', 'groan_VBD', 'groan_VBG', 'groan_VBZ', 'groan_VBN']"
butt_NN,27,0,"['butt_NN', 'butt_NNP', 'butt_NNS']"
presumptuous_JJ,32,0,['presumptuous_JJ']
vain_JJ,50,0,['vain_JJ']
in_NN,17,0,"['in_NNP', 'in_NNS']"
y_JJ,15,0,['y_JJ']
reflexive_JJ,12,0,['reflexive_JJ']
f_NN,57,0,"['f_NN', 'f_NNP', 'f_NNS']"
z_NN,18,0,"['z_NN', 'z_NNP']"
h_NN,23,0,"['h_NNP', 'h_NN', 'h_NNS']"
\/_VB,61,0,"['\\/_VBP', '\\/_VBD', '\\/_VB', '\\/_VBN']"
psalmist_NN,17,0,"['psalmist_NNP', 'psalmist_NN', 'psalmist_NNS']"
promise_VB,111,0,"['promise_VBP', 'promise_VBN', 'promise_VBZ', 'promise_VB', 'promise_VBD', 'promise_VBG']"
vividness_NN,11,0,['vividness_NN']
disciple_NN,77,0,"['disciple_NN', 'disciple_NNS']"
organism_NN,66,0,"['organism_NN', 'organism_NNS', 'organism_NNP']"
quench_VB,14,0,"['quench_VB', 'quench_VBN']"
mediation_NN,53,0,"['mediation_NN', 'mediation_NNP', 'mediation_NNS']"
puritan_NN,32,0,"['puritan_NNPS', 'puritan_NNP', 'puritan_NN']"
besiege_VB,87,0,"['besiege_VBN', 'besiege_VBD']"
unification_NN,28,0,"['unification_NN', 'unification_NNP']"
blatant_JJ,26,0,['blatant_JJ']
anti-semitism_NN,23,0,"['anti-semitism_NN', 'anti-semitism_NNP']"
bankruptcy_NN,23,0,['bankruptcy_NN']
undesirable_JJ,54,0,['undesirable_JJ']
encounter_NN,99,0,"['encounter_NN', 'encounter_NNS', 'encounter_NNP']"
corruption_NN,78,0,"['corruption_NN', 'corruption_NNP', 'corruption_NNS']"
emergence_NN,28,0,['emergence_NN']
superstar_NN,14,0,"['superstar_NN', 'superstar_NNS']"
fluctuate_VB,15,0,"['fluctuate_VB', 'fluctuate_VBP', 'fluctuate_VBD', 'fluctuate_VBN', 'fluctuate_VBG']"
corresponds_NN,19,0,['corresponds_NNS']
datum_NN,19,0,['datum_NN']
athens_NN,33,0,['athens_NNP']
kippur_NN,10,0,['kippur_NNP']
transmute_VB,24,0,"['transmute_VBN', 'transmute_VB']"
high-level_JJ,22,0,['high-level_JJ']
valuation_NN,33,0,"['valuation_NN', 'valuation_NNS', 'valuation_NNP']"
mt_NN,32,0,"['mt_NNP', 'mt_NN']"
anticipatory_JJ,13,0,['anticipatory_JJ']
historian_NN,145,0,"['historian_NNS', 'historian_NN', 'historian_NNP', 'historian_NNPS']"
encapsulate_VB,29,0,"['encapsulate_VB', 'encapsulate_VBZ', 'encapsulate_VBD', 'encapsulate_VBN', 'encapsulate_VBP', 'encapsulate_VBG']"
inwardness_NN,14,0,['inwardness_NN']
exclusion_NN,151,0,"['exclusion_NNS', 'exclusion_NN']"
temporal_JJ,20,0,['temporal_JJ']
objectify_VB,20,0,"['objectify_VBZ', 'objectify_VBN', 'objectify_VB', 'objectify_VBP']"
sinfulness_NN,16,0,['sinfulness_NN']
derivative_JJ,20,0,['derivative_JJ']
oregon_NN,80,0,['oregon_NNP']
matthew_NN,65,0,['matthew_NNP']
deterioration_NN,19,0,['deterioration_NN']
denial_NN,130,0,"['denial_NN', 'denial_NNS', 'denial_NNP']"
cleanse_VB,47,0,"['cleanse_VBN', 'cleanse_VBG', 'cleanse_VB', 'cleanse_VBD', 'cleanse_VBP']"
mechanically_RB,16,0,['mechanically_RB']
inhale_VB,34,0,"['inhale_VBP', 'inhale_VBG', 'inhale_VB', 'inhale_VBN', 'inhale_VBD']"
insure_VB,32,0,"['insure_VB', 'insure_VBG', 'insure_VBN', 'insure_VBP']"
passive_NN,24,0,['passive_NN']
recipient_JJ,108,0,['recipient_JJ']
rabbi_NN,53,0,"['rabbi_NN', 'rabbi_NNP', 'rabbi_NNS', 'rabbi_NNPS']"
mason_NN,27,0,"['mason_NNP', 'mason_NNS']"
generic_JJ,62,0,['generic_JJ']
missionary_NN,40,0,"['missionary_NNS', 'missionary_NNPS', 'missionary_NNP']"
17th_JJ,11,0,['17th_JJ']
throb_NN,58,0,"['throb_NNS', 'throb_NN']"
dont_JJ,15,0,['dont_JJ']
experiential_JJ,38,0,['experiential_JJ']
ooze_VB,27,0,"['ooze_VBD', 'ooze_VBZ', 'ooze_VBG', 'ooze_VBP', 'ooze_VBN', 'ooze_VB']"
idol_NN,13,0,"['idol_NN', 'idol_NNP', 'idol_NNS']"
demon_NN,37,0,"['demon_NNS', 'demon_NN', 'demon_NNP']"
dampen_VB,23,0,"['dampen_VBD', 'dampen_VBZ', 'dampen_VBN', 'dampen_VB', 'dampen_VBG', 'dampen_VBP']"
delve_VB,17,0,"['delve_VB', 'delve_VBD', 'delve_VBN', 'delve_VBZ']"
race_VB,70,0,"['race_VBG', 'race_VBD', 'race_VBN']"
reprint_VB,21,0,"['reprint_VB', 'reprint_VBG', 'reprint_VBZ', 'reprint_VBP', 'reprint_VBN']"
typical_JJ,220,0,['typical_JJ']
acquaint_VB,52,0,"['acquaint_VB', 'acquaint_VBN']"
laity_NN,17,0,['laity_NN']
minor_NN,24,0,"['minor_NNS', 'minor_NNP']"
perversely_RB,15,0,['perversely_RB']
gym_NN,49,0,"['gym_NN', 'gym_NNS', 'gym_NNP']"
psychologically_RB,126,0,['psychologically_RB']
relive_VB,53,0,"['relive_VBG', 'relive_VB', 'relive_VBN', 'relive_VBP', 'relive_VBZ', 'relive_VBD']"
subjectively_RB,91,0,['subjectively_RB']
unfocused_JJ,23,0,['unfocused_JJ']
presidency_NN,47,0,"['presidency_NN', 'presidency_NNP']"
distinctive_JJ,133,0,['distinctive_JJ']
seaman_NN,19,0,"['seaman_NNS', 'seaman_NN', 'seaman_NNP']"
stevenson_NN,21,0,['stevenson_NNP']
denomination_NN,48,0,"['denomination_NNS', 'denomination_NN']"
ineffective_JJ,72,0,['ineffective_JJ']
deform_VB,10,0,"['deform_VBN', 'deform_VBD', 'deform_VB']"
repetition_NN,28,0,"['repetition_NNS', 'repetition_NN']"
elevator_NN,41,0,"['elevator_NN', 'elevator_NNS', 'elevator_NNP']"
boss_NN,48,0,['boss_NNS']
buyer_NN,154,0,"['buyer_NNS', 'buyer_NN', 'buyer_NNP']"
trainer_NN,43,0,"['trainer_NN', 'trainer_NNS', 'trainer_NNPS']"
luke_NN,86,0,['luke_NNP']
disenchantment_NN,16,0,['disenchantment_NN']
ticket_NN,75,0,"['ticket_NN', 'ticket_NNS', 'ticket_NNP']"
bus_NN,92,0,"['bus_NN', 'bus_NNS', 'bus_NNP']"
masculine_JJ,65,0,['masculine_JJ']
fowler_NN,11,0,['fowler_NNP']
poetic_JJ,134,0,['poetic_JJ']
disagreement_NN,62,0,"['disagreement_NN', 'disagreement_NNS']"
baptism_NN,13,0,"['baptism_NN', 'baptism_NNP']"
belittle_VB,72,0,"['belittle_VBN', 'belittle_VB', 'belittle_VBZ', 'belittle_VBD', 'belittle_VBG', 'belittle_VBP']"
sleeplessness_NN,15,0,['sleeplessness_NN']
stadium_NN,49,0,"['stadium_NNP', 'stadium_NN', 'stadium_NNS']"
trent_NN,27,0,['trent_NNP']
easier_RB,17,0,['easier_RBR']
wand_NN,12,0,['wand_NN']
buddhist_JJ,26,0,['buddhist_JJ']
search_NN,418,0,"['search_NN', 'search_NNS', 'search_NNP']"
font_NN,29,0,"['font_NNS', 'font_NN']"
disillusioned_JJ,77,0,['disillusioned_JJ']
upbringing_NN,44,0,"['upbringing_NN', 'upbringing_NNS']"
parish_NN,34,0,"['parish_NN', 'parish_NNS', 'parish_NNP']"
solace_NN,37,0,"['solace_NN', 'solace_NNS', 'solace_NNP']"
exodus_NN,10,0,"['exodus_NN', 'exodus_NNP']"
clergy_NN,69,0,"['clergy_NNS', 'clergy_NNP']"
wholesale_JJ,18,0,['wholesale_JJ']
scholarly_JJ,45,0,['scholarly_JJ']
long-held_JJ,10,0,['long-held_JJ']
popularity_NN,39,0,['popularity_NN']
unneeded_JJ,15,0,['unneeded_JJ']
politely_RB,14,0,['politely_RB']
desperately_RB,112,0,['desperately_RB']
forced_JJ,58,0,['forced_JJ']
insomnia_NN,40,0,['insomnia_NN']
reinvent_VB,23,0,"['reinvent_VB', 'reinvent_VBD', 'reinvent_VBG']"
severance_NN,11,0,"['severance_NN', 'severance_NNP']"
worn-out_JJ,12,0,['worn-out_JJ']
recruitment_NN,30,0,['recruitment_NN']
manipulation_NN,52,0,"['manipulation_NN', 'manipulation_NNS']"
blameless_JJ,11,0,['blameless_JJ']
incomparable_JJ,15,0,['incomparable_JJ']
inauthentic_JJ,15,0,['inauthentic_JJ']
puff_NN,19,0,"['puff_NN', 'puff_NNS']"
relaxing_JJ,36,0,['relaxing_JJ']
moisture_NN,70,0,['moisture_NN']
luther_NN,45,0,['luther_NNP']
pedestrian_JJ,16,0,['pedestrian_JJ']
networking_NN,34,0,"['networking_NN', 'networking_NNP']"
trapped_JJ,41,0,['trapped_JJ']
collar_NN,57,0,"['collar_NN', 'collar_NNS', 'collar_NNP']"
torture_VB,127,0,"['torture_VBP', 'torture_VB', 'torture_VBZ', 'torture_VBG']"
cia_NN,74,0,['cia_NNP']
proliferate_VB,12,0,"['proliferate_VBP', 'proliferate_VBG', 'proliferate_VB', 'proliferate_VBN']"
patriarchal_JJ,11,0,['patriarchal_JJ']
yearn_VB,27,0,"['yearn_VB', 'yearn_VBD', 'yearn_VBP', 'yearn_VBZ']"
atlantic_NN,53,0,['atlantic_NNP']
bos_NN,166,0,"['bos_NN', 'bos_NNP']"
envy_NN,215,0,"['envy_NN', 'envy_NNP']"
autonomy_NN,117,0,"['autonomy_NN', 'autonomy_NNS']"
prozac_NN,18,0,"['prozac_NNP', 'prozac_NN']"
holiness_NN,35,0,"['holiness_NN', 'holiness_NNP']"
digest_VB,16,0,"['digest_VBN', 'digest_VB', 'digest_VBP', 'digest_VBG']"
present_NN,115,0,"['present_NN', 'present_NNS', 'present_NNP']"
coherence_NN,21,0,['coherence_NN']
flirt_VB,16,0,"['flirt_VBN', 'flirt_VBG', 'flirt_VBD', 'flirt_VB']"
elder_NN,73,0,"['elder_NNS', 'elder_NNP', 'elder_NNPS']"
sophie_NN,22,0,"['sophie_NNP', 'sophie_NN']"
inwardly_RB,72,0,['inwardly_RB']
gradual_JJ,40,0,['gradual_JJ']
bereaved_JJ,46,0,['bereaved_JJ']
nuisance_NN,13,0,"['nuisance_NN', 'nuisance_NNS']"
griever_NN,10,0,"['griever_NN', 'griever_NNS']"
caribbean_JJ,12,0,['caribbean_JJ']
gamut_NN,16,0,['gamut_NN']
lug_VB,12,0,"['lug_VBG', 'lug_VB', 'lug_VBD']"
baggage_NN,11,0,['baggage_NN']
encumber_VB,20,0,"['encumber_VBD', 'encumber_VBN', 'encumber_VBG', 'encumber_VB']"
fascination_NN,67,0,"['fascination_NN', 'fascination_NNS']"
never-ending_JJ,16,0,['never-ending_JJ']
calmness_NN,45,0,['calmness_NN']
cosmic_JJ,78,0,['cosmic_JJ']
exile_VB,18,0,"['exile_VBN', 'exile_VBD', 'exile_VBZ']"
protestantism_NN,10,0,['protestantism_NNP']
nineteenth_JJ,29,0,['nineteenth_JJ']
hug_VB,51,0,"['hug_VBG', 'hug_VBN', 'hug_VBD']"
bondage_NN,27,0,['bondage_NN']
accusation_NN,53,0,"['accusation_NNS', 'accusation_NN']"
unexpected_JJ,159,0,['unexpected_JJ']
poison_NN,35,0,"['poison_NN', 'poison_NNS']"
aptitude_NN,12,0,['aptitude_NN']
disavow_VB,10,0,"['disavow_VB', 'disavow_VBN', 'disavow_VBG', 'disavow_VBD']"
basic_NN,44,0,"['basic_NNS', 'basic_NNP']"
preacher_NN,37,0,"['preacher_NN', 'preacher_NNS']"
reprisal_NN,20,0,"['reprisal_NN', 'reprisal_NNS']"
independently_RB,46,0,['independently_RB']
a.m._NN,29,0,"['a.m._NN', 'a.m._NNP']"
verse_NN,55,0,"['verse_NNS', 'verse_NN']"
fair_NN,45,0,"['fair_NN', 'fair_NNP', 'fair_NNS']"
long-term_JJ,154,0,['long-term_JJ']
enact_VB,62,0,"['enact_VBN', 'enact_VB', 'enact_VBP', 'enact_VBG', 'enact_VBZ', 'enact_VBD']"
immediacy_NN,66,0,['immediacy_NN']
non-human_JJ,10,0,['non-human_JJ']
complacent_JJ,54,0,['complacent_JJ']
rootless_JJ,14,0,['rootless_JJ']
failing_NN,10,0,['failing_NNS']
canon_NN,41,0,"['canon_NN', 'canon_NNP', 'canon_NNS']"
conceal_VB,193,0,"['conceal_VBP', 'conceal_VBN', 'conceal_VB', 'conceal_VBG', 'conceal_VBD', 'conceal_VBZ']"
verbal_JJ,67,0,['verbal_JJ']
wrong_NN,35,0,"['wrong_NNS', 'wrong_NNP']"
portable_JJ,21,0,['portable_JJ']
earnestness_NN,36,0,['earnestness_NN']
blindly_RB,35,0,['blindly_RB']
honesty_NN,90,0,"['honesty_NN', 'honesty_NNP']"
spontaneity_NN,38,0,['spontaneity_NN']
glaring_JJ,10,0,['glaring_JJ']
entrepreneurial_JJ,18,0,['entrepreneurial_JJ']
synthesis_NN,19,0,"['synthesis_NN', 'synthesis_NNS', 'synthesis_NNP']"
augment_VB,47,0,"['augment_VBZ', 'augment_VB', 'augment_VBN', 'augment_VBG', 'augment_VBD']"
abstract_JJ,122,0,['abstract_JJ']
mischief_NN,21,0,"['mischief_NN', 'mischief_NNS', 'mischief_NNP']"
thoughtful_JJ,69,0,['thoughtful_JJ']
refrain_VB,40,0,"['refrain_VB', 'refrain_VBD', 'refrain_VBG', 'refrain_VBN', 'refrain_VBP']"
realism_NN,40,0,"['realism_NN', 'realism_NNP']"
dungeon_NN,12,0,"['dungeon_NN', 'dungeon_NNP', 'dungeon_NNPS']"
haiti_NN,16,0,['haiti_NNP']
ingrained_JJ,23,0,['ingrained_JJ']
demean_VB,59,0,"['demean_VBN', 'demean_VBD', 'demean_VBZ', 'demean_VB']"
err_VB,22,0,"['err_VBZ', 'err_VBG', 'err_VB', 'err_VBN', 'err_VBD', 'err_VBP']"
hasty_JJ,22,0,['hasty_JJ']
utilitarian_JJ,16,0,['utilitarian_JJ']
beleaguered_JJ,60,0,['beleaguered_JJ']
subordinate_JJ,22,0,['subordinate_JJ']
compilation_NN,27,0,"['compilation_NN', 'compilation_NNS']"
visible_JJ,122,0,['visible_JJ']
lender_NN,59,0,"['lender_NN', 'lender_NNS', 'lender_NNP']"
expound_VB,13,0,"['expound_VBZ', 'expound_VBG', 'expound_VBN', 'expound_VB']"
scorn_VB,83,0,"['scorn_VBP', 'scorn_VB', 'scorn_VBN', 'scorn_VBD', 'scorn_VBG']"
cast_NN,55,0,['cast_NN']
berger_NN,24,0,"['berger_NNP', 'berger_NN']"
deliverance_NN,14,0,['deliverance_NN']
disturbed_JJ,113,0,['disturbed_JJ']
franchise_NN,30,0,"['franchise_NN', 'franchise_NNS']"
shun_VB,42,0,"['shun_VB', 'shun_VBN', 'shun_VBG', 'shun_VBD', 'shun_VBP']"
ordination_NN,10,0,['ordination_NN']
trustworthy_JJ,25,0,['trustworthy_JJ']
illustration_NN,61,0,"['illustration_NNS', 'illustration_NN']"
malice_NN,49,0,['malice_NN']
incongruity_NN,18,0,"['incongruity_NN', 'incongruity_NNS']"
scare_VB,13,0,"['scare_VBP', 'scare_VB']"
reminiscent_JJ,33,0,['reminiscent_JJ']
bearer_NN,11,0,"['bearer_NN', 'bearer_NNS']"
scourge_NN,13,0,"['scourge_NN', 'scourge_NNS']"
warrior_NN,37,0,"['warrior_NN', 'warrior_NNS', 'warrior_NNP', 'warrior_NNPS']"
resonate_VB,62,0,"['resonate_VBP', 'resonate_VBZ', 'resonate_VB', 'resonate_VBN', 'resonate_VBD', 'resonate_VBG']"
lassitude_NN,17,0,['lassitude_NN']
poetically_RB,10,0,['poetically_RB']
disillusionment_NN,54,0,['disillusionment_NN']
resurgence_NN,21,0,['resurgence_NN']
momentary_JJ,115,0,['momentary_JJ']
19th-century_JJ,13,0,['19th-century_JJ']
jeopardy_NN,35,0,"['jeopardy_NN', 'jeopardy_NNP']"
edmund_NN,32,0,['edmund_NNP']
defensively_RB,13,0,['defensively_RB']
sight_VB,23,0,"['sight_VBN', 'sight_VBG', 'sight_VBD']"
non-christian_JJ,17,0,['non-christian_JJ']
likely_RB,260,0,['likely_RB']
richness_NN,23,0,['richness_NN']
deride_VB,11,0,"['deride_VB', 'deride_VBZ', 'deride_VBG', 'deride_VBD', 'deride_VBN']"
inquiry_NN,113,0,"['inquiry_NNP', 'inquiry_NNS', 'inquiry_NN']"
percy_NN,14,0,['percy_NNP']
harriet_NN,42,0,['harriet_NNP']
funeral_NN,15,0,"['funeral_NNS', 'funeral_NNP']"
said_NN,30,0,['said_NNP']
suffocation_NN,41,0,['suffocation_NN']
cinderella_NN,20,0,"['cinderella_NNP', 'cinderella_NN']"
indicative_JJ,42,0,['indicative_JJ']
perceptive_JJ,19,0,['perceptive_JJ']
smelt_VB,20,0,"['smelt_VBD', 'smelt_VBN']"
traditionalist_NN,17,0,"['traditionalist_NN', 'traditionalist_NNS']"
presidential_JJ,53,0,['presidential_JJ']
professionally_RB,89,0,['professionally_RB']
