,OlfN,TotalN,Tokens
depression_NN,1231,0,"['depression_NN', 'depression_NNP', 'depression_NNS']"
self_NN,920,0,"['self_NN', 'self_NNS', 'self_NNP']"
temporarily_RB,120,0,['temporarily_RB']
forget_VB,662,0,"['forget_VB', 'forget_VBN', 'forget_VBP', 'forget_VBZ', 'forget_VBG', 'forget_VBD']"
perhaps_RB,2432,0,['perhaps_RB']
congress_NN,756,0,"['congress_NNP', 'congress_NN', 'congress_NNS']"
press_NN,410,0,"['press_NN', 'press_NNP', 'press_NNS', 'press_NNPS']"
know_VB,13756,0,"['know_VB', 'know_VBG', 'know_VBP', 'know_VBZ', 'know_VBN', 'know_VBD']"
too_RB,8653,0,['too_RB']
dignified_JJ,38,0,['dignified_JJ']
existence_NN,337,0,"['existence_NN', 'existence_NNP', 'existence_NNS']"
kind_NN,3301,0,"['kind_NN', 'kind_NNS', 'kind_NNP']"
year_NN,5421,0,"['year_NN', 'year_NNS', 'year_NNP']"
pain_NN,7970,0,"['pain_NN', 'pain_NNS', 'pain_NNP']"
emotionally_RB,634,0,['emotionally_RB']
even_RB,10257,0,['even_RB']
deserve_VB,1009,0,"['deserve_VBP', 'deserve_VBZ', 'deserve_VBD', 'deserve_VBN', 'deserve_VB']"
strong_JJ,8022,0,"['strong_JJ', 'strong_JJR', 'strong_JJS']"
round_NN,334,0,"['round_NN', 'round_NNS', 'round_NNP']"
success_NN,1021,0,"['success_NN', 'success_NNS', 'success_NNP']"
olson_NN,25,0,['olson_NNP']
first_JJ,4353,0,['first_JJ']
importance_NN,658,0,"['importance_NN', 'importance_NNP']"
coach_VB,56,0,"['coach_VBP', 'coach_VB', 'coach_VBD', 'coach_VBN']"
partnership_NN,168,0,"['partnership_NN', 'partnership_NNP', 'partnership_NNS']"
other_JJ,13767,0,['other_JJ']
senior_NN,162,0,"['senior_NNS', 'senior_NNP', 'senior_NN']"
gather_VB,192,0,"['gather_VBN', 'gather_VBP', 'gather_VB', 'gather_VBD', 'gather_VBG', 'gather_VBZ']"
great_JJ,8573,0,"['great_JJ', 'great_JJS', 'great_JJR']"
sorrow_NN,792,0,"['sorrow_NN', 'sorrow_NNS', 'sorrow_NNP', 'sorrow_NNPS']"
emotional_JJ,1172,0,['emotional_JJ']
conflict_NN,748,0,"['conflict_NN', 'conflict_NNS', 'conflict_NNP']"
begin_VB,7917,0,"['begin_VBN', 'begin_VBP', 'begin_VBG', 'begin_VBD', 'begin_VB', 'begin_VBZ']"
'd_MD,2875,0,"[""'d_MD""]"
important_JJ,7927,0,['important_JJ']
senior_JJ,244,0,['senior_JJ']
