Word;Auditory;Gustatory;Haptic;Interoceptive;Olfactory;Visual;Exclusivity;DominantModality
bandwagon;2.285714286;0.085714286;0.8;0.685714286;0.142857143;3.171428571;0.430278884;Visual
bandwidth;0.5;0.03125;0.09375;0.21875;0.0625;1.75;0.647058824;Visual
baneful;2.230769231;0;0.769230769;0.615384615;0;2.538461538;0.4125;Visual
bang;4.125;0;0.5625;0.5625;0.375;1.4375;0.584070796;Auditory
banger;2.6;0.2;1.333333333;0.466666667;0.2;2.333333333;0.336448598;Auditory
banging;4;0.058823529;2.235294118;0.705882353;0.058823529;2.823529412;0.398809524;Auditory
bangle;1.333333333;0.416666667;2.416666667;1.166666667;0.416666667;3.333333333;0.321100917;Visual
banish;1.833333333;0.166666667;0.055555556;0.222222222;0;2.111111111;0.481012658;Visual
banisher;1.571428571;0;0.142857143;0.571428571;0;2.428571429;0.515151515;Visual
banishment;1;0;0.25;1.3;0;1.35;0.346153846;Visual
banister;0.764705882;0;2.882352941;0.176470588;0.235294118;3.823529412;0.485074627;Visual
banjo;4.555555556;0;3.222222222;0.166666667;0;3.388888889;0.401960784;Auditory
banjoist;3.25;0;0.5;0.166666667;0.083333333;3.083333333;0.458823529;Auditory
bank;1.166666667;0.055555556;1.277777778;0.277777778;0.277777778;4.166666667;0.569230769;Visual
bank account;0.3;0;0;0.7;0;3.2;0.761904762;Visual
bank building;0.666666667;0.055555556;1.222222222;0;0.444444444;3.611111111;0.601851852;Visual
bank card;0.05;0;3.65;0.2;0;4.35;0.527272727;Visual
bank holiday;1.166666667;0.111111111;0.166666667;0.666666667;0.111111111;1.722222222;0.408450704;Visual
bank loan;0.9;0;0.1;0.2;0;2.55;0.68;Visual
bank manager;2.947368421;0;0.842105263;0.315789474;0;3.842105263;0.483443709;Visual
bank robber;2.684210526;0.210526316;0.684210526;1.157894737;0.157894737;4.052631579;0.435294118;Visual
bank statement;0.545454545;0.136363636;0.863636364;0.272727273;0.090909091;4.454545455;0.685714286;Visual
bank vault;1.111111111;0;2.333333333;0.111111111;0.277777778;4.222222222;0.524137931;Visual
bankable;1.0625;0.3125;0.5;0.75;0.375;3.125;0.459183673;Visual
bankbook;0.789473684;0;3;0.421052632;0.157894737;4.368421053;0.5;Visual
banked;0.647058824;0;0.647058824;0.058823529;0;2.823529412;0.676056338;Visual
banker;2.647058824;0.176470588;1;0.235294118;0.235294118;3.823529412;0.449275362;Visual
banking;1.4;0;0.5;0.15;0;3.35;0.62037037;Visual
banknote;0.736842105;0.105263158;2.842105263;0.421052632;0.473684211;4.210526316;0.467065868;Visual
bankroll;0.9375;0;0.9375;0.9375;0;2.5625;0.476744186;Visual
bankrupt;1.4375;0;0.25;1.0625;0;2.625;0.488372093;Visual
bankruptcy;1.3;0;0;1.45;0;1.3;0.358024691;Interoceptive
banner;0.375;0.125;1.375;0.25;0.1875;4.5;0.642201835;Visual
bannered;0.3125;0.125;0.625;0.375;0.1875;3;0.621621622;Visual
banning;2.277777778;0.055555556;0.222222222;0.666666667;0.111111111;2.388888889;0.40776699;Visual
bannister;0.142857143;0;2.857142857;0.071428571;0;3.714285714;0.547368421;Visual
banquet;2.111111111;3.333333333;1.722222222;1.166666667;2.666666667;4.388888889;0.209386282;Visual
banquette;1.933333333;2.066666667;2.6;1.466666667;2.266666667;4.066666667;0.180555556;Visual
banshee;2.823529412;0;0.294117647;0.176470588;0;2.470588235;0.489795918;Auditory
banter;4;0.111111111;0.166666667;0.555555556;0.111111111;1.722222222;0.583333333;Auditory
baptism;2.421052632;0.210526316;2.105263158;1.052631579;0.157894737;4.157894737;0.395833333;Visual
baptismal;1.25;0;1.125;0.125;0;2.875;0.534883721;Visual
baptize;1.866666667;0.333333333;1.866666667;1;0.4;3.733333333;0.369565217;Visual
baptizer;1.333333333;0.066666667;1.533333333;0.8;0.066666667;2.933333333;0.425742574;Visual
bar;2.473684211;1.052631579;2.052631579;0.631578947;1.578947368;3.526315789;0.255813953;Visual
bar chart;0.117647059;0.117647059;0.529411765;0.176470588;0.117647059;3.705882353;0.75308642;Visual
bar code;0.176470588;0;0.529411765;0;0;5;0.87628866;Visual
bar graph;0;0;0.368421053;0.052631579;0.157894737;4.473684211;0.885416667;Visual
barb;0.722222222;0.166666667;3.277777778;0.5;0;2.555555556;0.453846154;Haptic
barbarian;1.533333333;0;0.8;0.533333333;0.266666667;1.933333333;0.381578947;Visual
barbarianism;2.647058824;0.235294118;0.411764706;1.705882353;0.411764706;3.470588235;0.364238411;Visual
barbaric;2;0.166666667;0.611111111;1.944444444;0.333333333;2.944444444;0.347222222;Visual
barbarically;2.533333333;0.133333333;0.2;0.933333333;0.266666667;3.533333333;0.447368421;Visual
barbarism;1.4375;0.125;0.5;1.25;0.375;3.1875;0.445454545;Visual
barbarous;2.357142857;0.214285714;0.642857143;1.642857143;0.214285714;3.071428571;0.350877193;Visual
